id,task,stimulus,density,frequency,length,item,rt,log_rt,correct,NumID
N1,naming,nonword,high,high,4,uows,.848,-.164874643190234,TRUE,26
N1,naming,nonword,high,low,6,hipped,.553,-.592397277459802,TRUE,26
N1,naming,word,high,low,6,singer,.578,-.54818141030976,TRUE,26
N1,naming,word,high,high,4,post,.63,-.462035459596559,TRUE,26
N1,naming,nonword,low,high,6,jridge,.875,-.133531392624523,TRUE,26
N1,naming,nonword,low,low,6,sprour,.783,-.244622582991334,TRUE,26
N1,naming,nonword,low,high,4,plau,.89,-.116533816255952,TRUE,26
N1,naming,word,low,high,4,drew,.583,-.539568092631645,TRUE,26
N1,naming,word,high,high,6,packed,.639,-.447850824604602,TRUE,26
N1,naming,nonword,low,low,5,kwauc,.762,-.271808723295491,TRUE,26
N1,naming,nonword,low,high,6,aooves,1.16,.148420005118273,TRUE,26
N1,naming,word,low,high,5,towns,.705,-.349557476169868,TRUE,26
N1,naming,nonword,high,low,6,blaved,.677,-.390084006069862,TRUE,26
N1,naming,nonword,low,low,6,weiths,.711,-.341082849178896,TRUE,26
N1,naming,nonword,low,high,6,lulred,1.097,.0925791812930932,TRUE,26
N1,naming,nonword,low,low,6,korged,.863,-.147340587898709,TRUE,26
N1,naming,nonword,low,low,6,drownt,.742,-.298406035814757,TRUE,26
N1,naming,word,high,low,5,forts,.621,-.476424197048658,TRUE,26
N1,naming,nonword,high,high,5,ueans,.813,-.207024169434327,TRUE,26
N1,naming,word,high,low,6,heaped,.952,-.0491902441907718,TRUE,26
N1,naming,nonword,high,high,6,staoes,1.106,.100749903100143,TRUE,26
N1,naming,nonword,high,high,6,einged,1.339,.291923066709035,TRUE,26
N1,naming,word,high,high,4,push,1.141,.131905070879939,TRUE,26
N1,naming,nonword,low,high,6,heeied,.727,-.318828801448618,TRUE,26
N1,naming,word,low,high,6,effort,.516,-.661648513500574,TRUE,26
N1,naming,nonword,high,high,4,sanh,.894,-.112049503808623,TRUE,26
N1,naming,nonword,low,high,5,yleak,.891,-.115410851511328,TRUE,26
N1,naming,nonword,high,high,6,grajes,1.335,.288931291852213,TRUE,26
N1,naming,word,high,low,4,swan,.61,-.49429632181478,TRUE,26
N1,naming,word,high,low,5,wakes,.541,-.614336000135655,TRUE,26
N1,naming,word,high,high,4,race,.647,-.435408984481236,TRUE,26
N1,naming,word,high,high,4,yard,.591,-.525939261576039,TRUE,26
N1,naming,nonword,high,low,5,speep,.736,-.306525160253261,TRUE,26
N1,naming,nonword,high,low,4,draz,.531,-.632993257740198,TRUE,26
N1,naming,nonword,low,high,4,nras,.742,-.298406035814757,TRUE,26
N1,naming,nonword,high,high,4,uans,.667,-.404965233066513,TRUE,26
N1,naming,nonword,low,high,4,qymn,1.836,.607589292198299,TRUE,26
N1,naming,word,low,high,4,bird,.752,-.285018955032297,TRUE,26
N1,naming,nonword,low,low,5,clett,.615,-.486133011175619,TRUE,26
N1,naming,word,low,high,4,drop,.572,-.558616287602339,TRUE,26
N1,naming,word,high,low,4,wink,.536,-.623621117911335,TRUE,26
N1,naming,word,low,high,6,wished,.611,-.492658319810542,TRUE,26
N1,naming,word,low,low,4,itch,.501,-.691149177897272,TRUE,26
N1,naming,word,low,low,6,larvae,.714,-.336872316642553,TRUE,26
N1,naming,word,high,high,5,walls,.568,-.565633860260986,TRUE,26
N1,naming,word,high,high,5,grown,.531,-.632993257740198,TRUE,26
N1,naming,nonword,low,high,6,snoqze,1.511,.412771683290602,TRUE,26
N1,naming,word,low,low,4,void,.896,-.109814866007207,TRUE,26
N1,naming,nonword,high,low,6,lanked,.674,-.39452516806983,TRUE,26
N1,naming,word,high,high,4,sold,.696,-.362405618647717,TRUE,26
N1,naming,nonword,high,high,5,aoped,1.014,.0139029051689914,TRUE,26
N1,naming,word,high,high,6,pulled,.612,-.491022996469811,TRUE,26
N1,naming,word,low,high,5,thick,.613,-.489390343045926,TRUE,26
N1,naming,word,high,low,6,paving,.563,-.574475650842447,TRUE,26
N1,naming,nonword,high,low,4,bims,.618,-.481266821524446,TRUE,26
N1,naming,word,low,low,4,wrap,.477,-.740238788093796,TRUE,26
N1,naming,nonword,high,low,4,stim,.703,-.352398387171472,TRUE,26
N1,naming,nonword,low,low,4,shuf,.647,-.435408984481236,TRUE,26
N1,naming,nonword,low,low,5,highf,1.028,.0276151670329734,TRUE,26
N1,naming,word,low,low,6,fluent,.77,-.261364764134408,TRUE,26
N1,naming,nonword,low,low,6,breked,.666,-.406465608441748,TRUE,26
N1,naming,nonword,high,low,5,talts,.72,-.328504066972036,TRUE,26
N1,naming,word,low,low,6,relied,.57,-.562118918153541,TRUE,26
N1,naming,nonword,low,low,5,throf,.523,-.648173814917214,TRUE,26
N1,naming,word,low,high,6,weight,.564,-.572701027484078,TRUE,26
N1,naming,word,high,high,6,latter,.606,-.500875292912823,TRUE,26
N1,naming,nonword,high,high,6,iagged,1.13,.122217632724249,TRUE,26
N1,naming,word,low,low,5,cured,.684,-.379797361359587,TRUE,26
N1,naming,word,low,high,5,dance,.644,-.440056552877783,TRUE,26
N1,naming,word,high,low,5,scare,.724,-.322963886596421,TRUE,26
N1,naming,word,high,low,4,tilt,1.235,.211070970079941,TRUE,26
N1,naming,word,low,high,4,knee,.883,-.124430078378177,TRUE,26
N1,naming,nonword,low,low,5,scaig,1.029,.0285874568519125,TRUE,26
N1,naming,nonword,high,low,4,looc,.768,-.263965545834465,TRUE,26
N1,naming,word,high,high,6,filled,.724,-.322963886596421,TRUE,26
N1,naming,nonword,low,low,6,skeech,.92,-.083381608939051,TRUE,26
N1,naming,word,low,low,4,defy,.679,-.387134151423441,TRUE,26
N1,naming,word,high,low,6,wailed,.669,-.401971218853909,TRUE,26
N1,naming,word,high,high,5,hills,.599,-.512493680866688,TRUE,26
N1,naming,nonword,high,low,5,feeks,.714,-.336872316642553,TRUE,26
N1,naming,word,low,low,6,pearls,.662,-.412489723045129,TRUE,26
N1,naming,word,low,high,5,brief,.614,-.487760350834995,TRUE,26
N1,naming,nonword,low,high,5,joljs,1.894,.638690994763886,TRUE,26
N1,naming,word,low,high,4,edge,.875,-.133531392624523,TRUE,26
N1,naming,word,high,low,4,reed,.737,-.3051673867928,TRUE,26
N1,naming,nonword,low,high,5,stfte,1.489,.398104753701872,TRUE,26
N1,naming,nonword,high,low,6,roiled,.856,-.155484902840395,TRUE,26
N1,naming,word,low,high,6,tongue,.582,-.541284831250699,TRUE,26
N1,naming,nonword,low,low,5,dwice,.606,-.500875292912823,TRUE,26
N1,naming,nonword,low,high,6,sjints,.761,-.273121921120451,TRUE,26
N1,naming,nonword,high,high,6,aumble,.879,-.12897038129696,TRUE,26
N1,naming,word,low,high,5,image,.673,-.396009949337409,TRUE,26
N1,naming,word,high,high,5,loved,.654,-.424647927524938,TRUE,26
N1,naming,nonword,high,high,5,oines,.66,-.415515443961666,TRUE,26
N1,naming,nonword,high,high,6,peeaed,1.522,.420025259439494,TRUE,26
N1,naming,word,low,low,6,inform,1.051,.049742091894814,TRUE,26
N1,naming,nonword,high,low,5,smale,.739,-.302457358033935,TRUE,26
N1,naming,nonword,high,high,5,uands,.919,-.08446915662645,TRUE,26
N1,naming,nonword,low,low,4,pryp,.717,-.332679438382517,TRUE,26
N1,naming,word,low,low,4,grub,.594,-.520875959619492,TRUE,26
N1,naming,word,high,high,4,pool,.528,-.638658995275876,TRUE,26
N1,naming,word,low,low,5,mirth,.594,-.520875959619492,TRUE,26
N1,naming,nonword,high,high,6,uilled,1.007,.00697561373642514,TRUE,26
N1,naming,word,high,low,6,lashes,.704,-.350976922824095,TRUE,26
N1,naming,nonword,low,high,4,aerd,.73,-.3147107448397,TRUE,26
N1,naming,nonword,low,high,6,luxged,.872,-.136965855073157,TRUE,26
N1,naming,nonword,low,low,4,kyth,.712,-.339677367570161,TRUE,26
N1,naming,word,high,low,6,jailed,.644,-.440056552877783,TRUE,26
N1,naming,nonword,low,low,4,gwil,.577,-.549913012474038,TRUE,26
N1,naming,word,high,high,4,note,.646,-.436955775199535,TRUE,26
N1,naming,nonword,low,high,4,wlus,.702,-.353821874956326,TRUE,26
N1,naming,nonword,high,low,4,baln,.721,-.327116141697188,TRUE,26
N1,naming,word,low,low,5,irons,.515,-.663588378318401,TRUE,26
N1,naming,nonword,low,high,6,mhurch,1.361,.308219723669329,TRUE,26
N1,naming,nonword,high,high,4,aung,.799,-.224394333215862,TRUE,26
N1,naming,word,low,high,6,handed,.661,-.414001439130451,TRUE,26
N1,naming,word,high,high,6,leader,.639,-.447850824604602,TRUE,26
N1,naming,nonword,low,low,5,volms,.867,-.142716302201595,TRUE,26
N1,naming,nonword,high,high,4,iape,.99,-.0100503358535015,TRUE,26
N1,naming,word,high,low,5,liner,.807,-.214431610712188,TRUE,26
N1,naming,word,low,high,4,unit,.647,-.435408984481236,TRUE,26
N1,naming,nonword,high,low,6,lamped,.573,-.556869562267398,TRUE,26
N1,naming,nonword,high,low,4,dute,.541,-.614336000135655,TRUE,26
N1,naming,word,high,low,5,grate,.675,-.393042588109607,TRUE,26
N1,naming,word,low,low,4,oxen,.713,-.338273858567841,TRUE,26
N1,naming,word,low,low,6,taxing,.631,-.460449416440924,TRUE,26
N1,naming,word,low,high,4,term,.735,-.3078847797693,TRUE,26
N1,naming,word,high,high,6,waters,.541,-.614336000135655,TRUE,26
N1,naming,nonword,high,high,4,eint,1.194,.17730901497041,TRUE,26
N1,naming,nonword,low,high,5,rocis,.713,-.338273858567841,TRUE,26
N1,naming,word,low,high,6,smiled,.715,-.335472736288129,TRUE,26
N1,naming,nonword,high,high,5,eings,.988,-.0120725812342692,TRUE,26
N1,naming,word,high,high,5,train,.852,-.160168752152821,TRUE,26
N1,naming,nonword,low,low,4,zarc,.82,-.198450938723838,TRUE,26
N1,naming,word,high,high,6,leaned,.799,-.224394333215862,TRUE,26
N1,naming,nonword,low,high,4,zonx,.754,-.282362910974181,TRUE,26
N1,naming,nonword,low,low,6,cratts,.666,-.406465608441748,TRUE,26
N1,naming,word,low,low,4,oval,.676,-.391562202939173,TRUE,26
N1,naming,word,high,low,5,bully,.767,-.265268477614881,TRUE,26
N1,naming,word,low,high,6,strain,.951,-.0502412164367468,TRUE,26
N1,naming,nonword,low,high,5,dyxes,1.308,.268499253035007,TRUE,26
N1,naming,nonword,high,low,6,cicked,.953,-.048140375327935,TRUE,26
N1,naming,nonword,high,low,5,geams,.784,-.243346258631729,TRUE,26
N1,naming,word,high,low,4,mend,.77,-.261364764134408,TRUE,26
N1,naming,word,low,low,6,compel,.619,-.479650006297541,TRUE,26
N1,naming,word,low,high,5,limit,.631,-.460449416440924,TRUE,26
N1,naming,nonword,low,low,6,lothed,.984,-.0161293819298836,TRUE,26
N1,naming,nonword,high,high,5,iound,.985,-.0151136378100482,TRUE,26
N1,naming,nonword,high,high,6,aettle,1.649,.500169043577462,TRUE,26
N1,naming,nonword,high,low,5,rairs,1.007,.00697561373642514,TRUE,26
N1,naming,nonword,high,high,4,uabs,1.129,.121332285167525,TRUE,26
N1,naming,word,low,high,4,glad,.608,-.49758039701597,TRUE,26
N1,naming,nonword,low,high,6,eulged,1.187,.171429115627531,TRUE,26
N1,naming,word,low,high,5,march,.553,-.592397277459802,TRUE,26
N1,naming,nonword,low,low,5,haivs,.918,-.0855578883616465,TRUE,26
N1,naming,word,high,high,5,pages,.597,-.515838165589535,TRUE,26
N1,naming,nonword,low,high,5,pikts,.605,-.502526820951296,TRUE,26
N1,naming,word,low,high,6,proved,.597,-.515838165589535,TRUE,26
N1,naming,word,high,low,6,washes,.553,-.592397277459802,TRUE,26
N1,naming,nonword,high,low,5,wongs,.61,-.49429632181478,TRUE,26
N1,naming,nonword,high,low,6,eacked,.701,-.355247391947547,TRUE,26
N1,naming,word,high,low,6,jagged,.668,-.403467105445491,TRUE,26
N1,naming,word,low,low,4,blur,.595,-.519193873436507,TRUE,26
N1,naming,nonword,high,high,5,oales,.624,-.471604910612709,TRUE,26
N1,naming,word,high,low,6,banker,.689,-.372514007968479,TRUE,26
N1,naming,nonword,low,high,6,uifths,.779,-.249744233111389,TRUE,26
N1,naming,nonword,high,high,6,ougged,.783,-.244622582991334,TRUE,26
N1,naming,word,high,high,6,master,.655,-.423120043346885,TRUE,26
N1,naming,nonword,low,low,4,snuz,.838,-.176737178500054,TRUE,26
N1,naming,nonword,high,low,4,fler,.839,-.175544572514931,TRUE,26
N1,naming,word,high,high,4,nose,.705,-.349557476169868,TRUE,26
N1,naming,word,low,low,5,farce,.969,-.0314906670913708,TRUE,26
N1,naming,nonword,high,low,6,vocked,.75,-.287682072451781,TRUE,26
N1,naming,nonword,low,low,4,dwur,.648,-.433864582629862,TRUE,26
N1,naming,nonword,high,high,4,uood,.868,-.141563564321787,TRUE,26
N1,naming,word,high,low,6,winged,.594,-.520875959619492,TRUE,26
N1,naming,word,high,high,5,homes,.642,-.443166975292176,TRUE,26
N1,naming,nonword,low,high,5,nocve,1.741,.554459660786052,TRUE,26
N1,naming,word,high,high,4,coal,.714,-.336872316642553,TRUE,26
N1,naming,word,high,low,4,melt,.636,-.452556715642015,TRUE,26
N1,naming,word,low,low,5,truce,.578,-.54818141030976,TRUE,26
N1,naming,word,low,low,6,wedged,.545,-.606969484318893,TRUE,26
N1,naming,word,low,high,5,loose,.58,-.544727175441672,TRUE,26
N1,naming,nonword,low,low,5,teene,.866,-.143870370419702,TRUE,26
N1,naming,word,low,low,5,hosts,.676,-.391562202939173,TRUE,26
N1,naming,nonword,low,high,4,sjiv,1.458,.377065633586466,TRUE,26
N1,naming,nonword,high,low,6,looned,.55,-.59783700075562,TRUE,26
N1,naming,word,high,high,6,waited,.557,-.585190039054853,TRUE,26
N1,naming,word,low,low,6,glazed,.629,-.463624022281697,TRUE,26
N1,naming,nonword,low,low,5,montz,.59,-.527632742082372,TRUE,26
N1,naming,word,low,high,6,latest,1.134,.12575120530556,TRUE,26
N1,naming,nonword,high,low,5,trile,.715,-.335472736288129,TRUE,26
N1,naming,nonword,high,high,6,stajed,.909,-.0954101848046582,TRUE,26
N1,naming,word,high,low,5,minus,1.109,.10345870836823,TRUE,26
N1,naming,word,high,high,5,rates,.668,-.403467105445491,TRUE,26
N1,naming,nonword,low,high,6,typlib,1.233,.209450224182207,TRUE,26
N1,naming,nonword,low,high,5,smawn,1.068,.0657877405380032,TRUE,26
N1,naming,word,low,low,6,melted,.739,-.302457358033935,TRUE,26
N1,naming,nonword,high,high,4,daie,.821,-.197232169529709,TRUE,26
N1,naming,word,low,low,4,isle,.693,-.366725279792234,TRUE,26
N1,naming,nonword,high,low,5,snall,1.366,.311886761148598,TRUE,26
N1,naming,word,high,low,4,zeal,.74,-.301105092783922,TRUE,26
N1,naming,word,high,low,6,tipped,.636,-.452556715642015,TRUE,26
N1,naming,nonword,high,high,6,sxared,1.226,.20375683751402,TRUE,26
N1,naming,word,high,low,5,waded,.689,-.372514007968479,TRUE,26
N1,naming,word,low,low,6,spiced,.418,-.872273846457381,TRUE,26
N1,naming,word,high,low,6,dating,.638,-.449416995637347,TRUE,26
N1,naming,nonword,high,low,5,glave,.736,-.306525160253261,TRUE,26
N1,naming,word,high,high,4,safe,.822,-.196014883925957,TRUE,26
N1,naming,nonword,high,high,4,oang,1.076,.0732504617395927,TRUE,26
N1,naming,word,low,high,5,block,.578,-.54818141030976,TRUE,26
N1,naming,word,low,high,4,sign,.652,-.427710717055484,TRUE,26
N1,naming,word,low,high,4,join,.554,-.590590592234853,TRUE,26
N1,naming,word,low,low,5,lawns,.529,-.636766847123838,TRUE,26
N1,naming,nonword,low,low,4,jeev,.667,-.404965233066513,TRUE,26
N1,naming,nonword,low,low,6,mowlds,.747,-.29169009384932,TRUE,26
N1,naming,nonword,low,low,6,cruled,.786,-.24079848655293,TRUE,26
N1,naming,word,low,high,6,caused,.561,-.578034373459441,TRUE,26
N1,naming,word,high,high,4,coat,.584,-.53785429615391,TRUE,26
N1,naming,nonword,low,low,4,truv,.802,-.220646671115623,TRUE,26
N1,naming,word,low,low,6,weighs,.937,-.0650719967437148,TRUE,26
N1,naming,word,high,low,5,hatch,.598,-.514164525031505,TRUE,26
N1,naming,word,high,low,4,yell,.598,-.514164525031505,TRUE,26
N1,naming,nonword,high,low,4,gark,.708,-.345311185288417,TRUE,26
N1,naming,nonword,low,high,6,talwed,1.336,.289680075114454,TRUE,26
N1,naming,nonword,high,low,6,mooled,.814,-.205794912979597,TRUE,26
N1,naming,nonword,high,low,4,waip,.776,-.253602758798918,TRUE,26
N1,naming,nonword,high,high,5,caoed,.893,-.113168698105638,TRUE,26
N1,naming,nonword,low,high,6,prahce,1.226,.20375683751402,TRUE,26
N1,naming,nonword,low,high,4,kexn,1.204,.185649346886629,TRUE,26
N1,naming,nonword,high,high,4,sanm,.885,-.122167633974208,TRUE,26
N1,naming,nonword,high,high,6,szores,.837,-.177931208492662,TRUE,26
N1,naming,word,high,high,5,track,.648,-.433864582629862,TRUE,26
N1,naming,word,high,high,6,showed,.457,-.783071888087932,TRUE,26
N1,naming,nonword,low,low,4,gief,.706,-.348140041488895,TRUE,26
N1,naming,word,low,high,5,noted,.612,-.491022996469811,TRUE,26
N1,naming,word,low,low,6,glowed,.774,-.25618340539241,TRUE,26
N1,naming,nonword,low,high,4,ioed,1.216,.195566783543975,TRUE,26
N1,naming,word,low,high,5,doors,.612,-.491022996469811,TRUE,26
N1,naming,nonword,high,high,6,aocked,1.102,.0971267107307228,TRUE,26
N1,naming,nonword,low,low,4,naln,.841,-.173163619009189,TRUE,26
N1,naming,nonword,low,high,4,dwrm,.669,-.401971218853909,TRUE,26
N1,naming,word,low,low,5,reins,.59,-.527632742082372,TRUE,26
N1,naming,nonword,high,low,4,thap,.581,-.543004522130226,TRUE,26
N1,naming,word,high,high,6,missed,.495,-.703197516413447,TRUE,26
N1,naming,word,low,low,4,chef,.712,-.339677367570161,TRUE,26
N1,naming,nonword,low,low,6,yolbed,.735,-.3078847797693,TRUE,26
N1,naming,nonword,low,high,6,glzzed,.789,-.236988958136263,TRUE,26
N1,naming,word,high,low,5,vines,.67,-.400477566597125,TRUE,26
N1,naming,word,high,high,4,ease,.488,-.71743987312899,TRUE,26
N3,naming,word,high,high,6,latter,1.179,.164666621555234,TRUE,40
N3,naming,word,high,low,4,mule,.557,-.585190039054853,TRUE,40
N3,naming,nonword,low,high,5,monqh,1.41,.343589704390077,TRUE,40
N3,naming,word,high,high,4,yard,.714,-.336872316642553,TRUE,40
N3,naming,word,high,high,5,lower,.581,-.543004522130226,TRUE,40
N3,naming,nonword,high,low,4,draz,.646,-.436955775199535,TRUE,40
N3,naming,nonword,high,high,6,iagged,1.132,.123985979780991,TRUE,40
N3,naming,word,low,high,5,dance,.784,-.243346258631729,TRUE,40
N3,naming,word,low,high,6,wished,.641,-.444725822061467,TRUE,40
N3,naming,nonword,high,high,5,maqes,.956,-.0449973659307358,TRUE,40
N3,naming,nonword,high,low,6,treaks,1.056,.0544881852840698,TRUE,40
N3,naming,nonword,high,high,6,grajes,1.423,.352767319107715,TRUE,40
N3,naming,word,low,low,4,putt,.808,-.213193220461042,TRUE,40
N3,naming,word,high,low,5,forts,.638,-.449416995637347,TRUE,40
N3,naming,word,low,low,6,undone,.795,-.229413164327805,TRUE,40
N3,naming,nonword,low,low,5,yeece,.864,-.146182510178081,TRUE,40
N3,naming,word,high,low,5,mouse,.622,-.474815186242958,TRUE,40
N3,naming,word,low,low,6,relied,.608,-.49758039701597,TRUE,40
N3,naming,word,low,low,6,clique,1.011,.0109399400383343,TRUE,40
N3,naming,word,high,low,6,paving,.711,-.341082849178896,TRUE,40
N3,naming,nonword,high,high,4,iout,.951,-.0502412164367468,TRUE,40
N3,naming,nonword,low,low,4,dwek,.795,-.229413164327805,TRUE,40
N3,naming,nonword,low,high,5,blavt,.788,-.238257189124258,TRUE,40
N3,naming,nonword,low,high,4,urae,.753,-.283690051182243,TRUE,40
N3,naming,word,high,low,4,hike,.73,-.3147107448397,TRUE,40
N3,naming,nonword,high,low,5,solts,.887,-.119910296672558,TRUE,40
N3,naming,word,low,high,5,thick,.571,-.560366069326127,TRUE,40
N3,naming,nonword,low,low,4,veut,1.252,.224742272677907,TRUE,40
N3,naming,word,low,low,5,baton,.93,-.0725706928348354,TRUE,40
N3,naming,word,low,high,4,desk,.647,-.435408984481236,TRUE,40
N3,naming,word,low,high,6,effort,.635,-.454130280089445,TRUE,40
N3,naming,word,high,low,5,scare,.501,-.691149177897272,TRUE,40
N3,naming,word,low,low,5,quart,.634,-.455706324544911,TRUE,40
N3,naming,word,high,low,4,wink,.652,-.427710717055484,TRUE,40
N3,naming,nonword,low,high,6,yurtwh,.935,-.06720874969345,TRUE,40
N3,naming,nonword,high,low,4,fims,.801,-.221894331913778,TRUE,40
N3,naming,nonword,high,high,4,braj,.817,-.202116184122134,TRUE,40
N3,naming,nonword,high,high,6,einged,1.009,.0089597413714718,TRUE,40
N3,naming,nonword,low,high,5,rogts,.875,-.133531392624523,TRUE,40
N3,naming,word,low,high,5,enemy,.681,-.384192972832625,TRUE,40
N3,naming,nonword,high,high,5,aoped,.902,-.103140758919513,TRUE,40
N3,naming,nonword,high,high,5,ueans,.831,-.185125484126689,TRUE,40
N3,naming,word,low,low,5,cured,.729,-.316081546973479,TRUE,40
N3,naming,nonword,high,low,6,snocks,1.11,.104360015324243,TRUE,40
N3,naming,nonword,low,high,4,nras,1.079,.0760346862759976,TRUE,40
N3,naming,nonword,low,low,6,slaund,1.413,.34571510370239,TRUE,40
N3,naming,word,high,high,4,race,.78,-.2484613592985,TRUE,40
N3,naming,word,high,high,5,grown,.92,-.083381608939051,TRUE,40
N3,naming,word,high,low,5,wakes,.625,-.470003629245736,TRUE,40
N3,naming,nonword,low,low,5,clett,.759,-.275753501586507,TRUE,40
N3,naming,word,low,high,6,rolled,.642,-.443166975292176,TRUE,40
N3,naming,nonword,high,low,5,wumps,.653,-.426178149705706,TRUE,40
N3,naming,nonword,high,low,5,talts,.921,-.0822952427268302,TRUE,40
N3,naming,word,high,high,5,walls,.888,-.118783535989967,TRUE,40
N3,naming,word,high,high,6,pulled,.737,-.3051673867928,TRUE,40
N3,naming,word,low,high,6,cattle,.628,-.465215112513938,TRUE,40
N3,naming,nonword,high,low,4,mies,1.061,.059211859631846,TRUE,40
N3,naming,nonword,low,high,5,mowzd,1.54,.431782416425538,TRUE,40
N3,naming,nonword,low,low,6,drownt,.913,-.0910193983871685,TRUE,40
N3,naming,nonword,low,low,6,breked,.715,-.335472736288129,TRUE,40
N3,naming,nonword,low,high,5,smawn,1.23,.207014169384326,TRUE,40
N3,naming,nonword,high,low,5,snall,1.005,.00498754151103897,TRUE,40
N3,naming,word,low,high,4,onto,.713,-.338273858567841,TRUE,40
N3,naming,nonword,low,high,6,typlib,1.823,.600483495696526,TRUE,40
N3,naming,nonword,high,high,4,aied,.911,-.0932123817221787,TRUE,40
N3,naming,word,high,low,4,zeal,1.255,.227135572583747,TRUE,40
N3,naming,nonword,low,low,6,mowlds,.999,-.00100050033358353,TRUE,40
N3,naming,nonword,low,low,5,plood,.951,-.0502412164367468,TRUE,40
N3,naming,word,high,low,4,vent,1.125,.117783035656383,TRUE,40
N3,naming,word,low,high,4,self,.884,-.123298216344494,TRUE,40
N3,naming,nonword,high,low,5,glave,.902,-.103140758919513,TRUE,40
N3,naming,word,high,high,6,stayed,.814,-.205794912979597,TRUE,40
N3,naming,nonword,high,high,4,sanm,.867,-.142716302201595,TRUE,40
N3,naming,word,high,low,5,vines,.604,-.504181081047322,TRUE,40
N3,naming,nonword,low,high,5,drous,.733,-.310609577095486,TRUE,40
N3,naming,word,low,low,6,melted,.609,-.49593701127224,TRUE,40
N3,naming,word,low,low,5,reins,.592,-.524248644098131,TRUE,40
N3,naming,word,high,high,6,stared,.743,-.297059234264378,TRUE,40
N3,naming,word,high,high,6,stated,.746,-.293029678778376,TRUE,40
N3,naming,nonword,low,high,6,prahce,1.212,.192271887647123,TRUE,40
N3,naming,word,high,high,4,feed,.531,-.632993257740198,TRUE,40
